"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-7977",0.889192923842559,8.86741011085969,15.6330342209149,1.5887347934265e-53,6.76453486263628e-53,110.09749857553,TRUE
"hsa-miR-1237-5p",3.05669136419531,9.34663115697616,15.6255368461657,1.77809511947186e-53,7.51210728769117e-53,110.310658987341,TRUE
"hsa-miR-4746-3p",-0.494656143948292,8.97639016878205,-15.6114056178397,2.17812367961577e-53,9.13136465685072e-53,109.89814912082,FALSE
"hsa-miR-484",-0.408744117946338,8.40807387760271,-15.5712091121204,3.94277340472016e-53,1.64031412639121e-52,109.361170266668,FALSE
"hsa-miR-3147",-0.578793767840375,8.1592990551156,-15.503003364588,1.07588612419356e-52,4.44210558852646e-52,108.491398073009,TRUE
"hsa-miR-6836-3p",-0.741357896016824,9.364095540018,-15.4933459512385,1.23982273308312e-52,5.08047661300977e-52,108.175035156768,TRUE
"hsa-miR-8072",-1.22845246991995,13.5390604265975,-15.3110290535776,1.77747903907476e-51,7.2292990768339e-51,106.119274021378,TRUE
"hsa-miR-3180",-0.682531795668847,9.99850219202111,-15.3024852623304,2.01234451595366e-51,8.1239093421833e-51,105.461342248339,TRUE
"hsa-miR-4498",0.469721496802766,8.19298030790778,15.2733056846165,3.07311933785346e-51,1.23150738171333e-50,104.957185839589,FALSE
"hsa-miR-3197",-1.00875826898568,10.7652180426605,-15.2683728338281,3.30090886022661e-51,1.3131352765135e-50,105.120678845816,TRUE
"hsa-miR-665",0.440408172238973,9.0830757326427,15.150951645257,1.79981853091913e-50,7.10797898080381e-50,103.116469622014,FALSE
"hsa-miR-6806-5p",-0.47011127039381,8.91617714979287,-15.1367139484494,2.20903100996654e-50,8.66130863619972e-50,103.027375639473,FALSE
"hsa-miR-6789-5p",1.0597945108801,9.84224518316817,15.1294065133142,2.4609690830651e-50,9.58020107336056e-50,102.943223291983,TRUE
"hsa-miR-4290",-0.491738039154933,8.08689597838896,-14.9936988749125,1.71323035554868e-49,6.62206059414206e-49,101.146146438193,FALSE
"hsa-miR-4675",0.545755084607306,9.20001553489988,14.8179306600143,2.07451765130358e-48,7.96205718282008e-48,98.3986445074069,TRUE
"hsa-miR-6842-5p",-0.360384185591361,8.92082779036578,-14.8115461486821,2.27010466288586e-48,8.65179749141812e-48,98.3856237476597,FALSE
"hsa-miR-4723-3p",0.482012901270193,8.07719250790152,14.7180192431989,8.46305697536292e-48,3.20303198025888e-47,97.0972244827114,FALSE
"hsa-miR-3135b",-0.423054361877824,9.389187602827,-14.6562022673466,2.01133214421175e-47,7.55983461100279e-47,96.2038803396006,FALSE
"hsa-miR-6887-5p",0.50516936099126,8.63947954316799,14.5995044478571,4.43679116401673e-47,1.65619944136241e-46,95.3469895062869,TRUE
"hsa-miR-6742-5p",0.482264374530125,8.11792818683235,14.5306604901957,1.15522034740349e-46,4.28295979139391e-46,94.4921674887343,FALSE
"hsa-miR-8063",0.667570036845833,9.36205230117571,14.3519167023883,1.36031442326026e-45,5.00926595051921e-45,91.9658755467238,TRUE
"hsa-miR-3184-5p",-0.560467108020593,9.13588163466153,-14.3442925168113,1.50985500877978e-45,5.52262402540257e-45,91.9389587817099,TRUE
"hsa-miR-711",-0.465659929040042,10.0575417493309,-14.3435408087989,1.52549795898082e-45,5.54264258429697e-45,91.9954088117406,FALSE
"hsa-miR-4417",1.2153934156251,7.9470874923161,14.2591043558183,4.858272178377e-45,1.7534823425268e-44,90.739952334875,TRUE
"hsa-miR-6865-3p",0.367674082200962,8.37595159823944,14.1244517650517,3.01393059091065e-44,1.08065274476731e-43,88.9058715782196,FALSE
"hsa-miR-7108-5p",-0.399476384201487,11.0560495927895,-13.9125220582588,5.19400507765924e-43,1.85015213550607e-42,86.4214212454633,FALSE
"hsa-miR-4787-5p",-0.937024056384399,14.149874327477,-13.9043191404789,5.79455129677199e-43,2.05066912775372e-42,86.70451681913,TRUE
"hsa-miR-636",-0.413273878807674,8.30644985307065,-13.8787396870062,8.14767126755685e-43,2.86482634891515e-42,85.752062898612,FALSE
"hsa-miR-4787-3p",0.492081115976802,8.14347193453093,13.8586746289982,1.06406247821899e-42,3.71739776044456e-42,85.3985306582852,FALSE
"hsa-miR-8073",0.396795117293003,8.68802030927075,13.8419841199416,1.32827544301551e-42,4.61089246142326e-42,85.0985815323475,FALSE
"hsa-miR-4481",-0.446814952985354,8.46520675690378,-13.8382957826428,1.39495269787919e-42,4.81170392622885e-42,85.2134510655101,FALSE
"hsa-miR-4430",0.586044680634539,8.08815990244111,13.8368825773325,1.42137395316959e-42,4.87200505960646e-42,85.1179406640735,TRUE
"hsa-miR-373-5p",-0.377954792442738,8.58805215731948,-13.833317346043,1.49026322130246e-42,5.07620909756152e-42,85.1021114651709,FALSE
"hsa-miR-4488",2.2229873798851,10.9871171171434,13.8272637121657,1.61951362002642e-42,5.48220449015154e-42,85.4360222822827,TRUE
"hsa-miR-4695-5p",0.571517238136558,9.3920541864075,13.6831858074886,1.0826547267762e-41,3.64226435859894e-41,83.0337537284689,TRUE
