"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-4323",-0.224051442157273,8.41196066636304,1.49014039467921e-21,2.87988125922046e-21,FALSE
"hsa-miR-6885-3p",0.200638562029227,8.41128168665817,4.49443198547776e-21,8.65535488369391e-21,FALSE
"hsa-miR-6803-3p",-0.290968877315431,8.42706518348866,5.7833012827597e-21,1.10982366165635e-20,FALSE
"hsa-miR-6769b-5p",-0.277893866698748,8.97028380642607,6.60526300029545e-21,1.26311169654773e-20,FALSE
"hsa-miR-6797-5p",0.24922343244898,8.53831885351855,7.27880260926012e-21,1.38704455316321e-20,FALSE
"hsa-miR-6803-5p",-0.583439264267848,12.2669662497077,7.79958237361504e-21,1.48110536363073e-20,TRUE
"hsa-miR-629-3p",0.274320790369849,8.3757943374366,9.55249691235128e-21,1.805298858521e-20,FALSE
"hsa-miR-4728-3p",0.213861006454892,8.44499066113612,9.57305266261593e-21,1.805298858521e-20,FALSE
"hsa-miR-3151-5p",0.247253487828526,8.33670091610326,1.01089933326666e-20,1.89979357458734e-20,FALSE
"hsa-miR-665",0.235204874879658,9.32751188602033,1.1333488761998e-20,2.12259497432608e-20,FALSE
"hsa-miR-940",0.238637405090017,8.95176395384994,1.24059047998419e-20,2.31548565613487e-20,FALSE
"hsa-miR-1470",0.236668578252822,8.4950125182763,1.66863739528501e-20,3.10377945539363e-20,FALSE
"hsa-miR-422a",0.213136908307534,9.18934328210889,2.73471574472881e-20,5.06945605740546e-20,FALSE
"hsa-miR-4429",0.234506149281502,8.91798542944653,4.05030146078249e-20,7.48276032585239e-20,FALSE
"hsa-miR-4721",-0.227342326298352,8.57473910801535,4.11592297680047e-20,7.57830412958196e-20,FALSE
"hsa-miR-4723-5p",-0.359297054712108,10.3262706190405,4.7933431587275e-20,8.79586539227773e-20,FALSE
"hsa-miR-5096",0.237298764727919,8.43961951571224,2.41001720858409e-19,4.40758180764539e-19,FALSE
"hsa-miR-6886-3p",0.247016517968755,8.36853671855974,5.27589075890389e-19,9.61659017927297e-19,FALSE
"hsa-miR-7113-3p",0.262100603305705,8.47583151525878,5.37426536747848e-19,9.76324875091923e-19,FALSE
