mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-6075,5.2595,6.7555,-1.496,0.038947,-38.4101,2691.5,9.408856830359586e-258,98,5.232476502597933e-257,True
hsa-miR-483-5p,3.3539,5.0926,-1.7387,0.04372,-39.7693,2077.8,1.1368214807173183e-257,99,6.258259666575137e-257,True
hsa-miR-1231,4.0686,5.5608,-1.4922,0.039395,-37.8765,3023.1,2.928658749996591e-257,100,1.596119018748142e-256,True
hsa-miR-6836-3p,4.1857,6.2125,-2.0268,0.053462,-37.9105,2959.7,1.0540019914775378e-256,101,5.687436488665922e-256,True
hsa-miR-197-3p,3.5708,4.8722,-1.3015,0.033433,-38.9269,2310.1,2.575650935234278e-255,102,1.3762056467673348e-254,True
hsa-miR-6729-3p,3.9227,5.1903,-1.2675,0.033054,-38.3466,2487.2,3.546692420202423e-253,103,1.8766479310779811e-252,True
hsa-miR-3928-3p,3.781,5.4183,-1.6372,0.042373,-38.6386,2343.0,4.015839583110071e-253,104,2.1044543969182584e-252,True
hsa-miR-24-3p,3.357,4.9667,-1.6098,0.040383,-39.862,1875.5,3.187416198581252e-252,105,1.6544207887874116e-251,True
hsa-miR-7112-5p,3.8527,5.078,-1.2253,0.031851,-38.469,2365.4,7.043187974071166e-252,106,3.621261741385647e-251,True
hsa-miR-1249-3p,1.3878,3.9514,-2.5636,0.069268,-37.0095,3296.3,4.702605759159357e-251,107,2.395252466113878e-250,True
hsa-miR-6894-5p,3.8633,5.1647,-1.3013,0.034544,-37.6725,2764.3,4.881195357080688e-251,108,2.4631958051934955e-250,True
hsa-miR-4270,5.0603,6.7127,-1.6523,0.044728,-36.9423,3330.8,1.0882981107485326e-250,109,5.441490553742663e-250,True
hsa-miR-4721,3.4624,5.0238,-1.5614,0.040637,-38.4225,2328.8,1.3641651623513805e-250,110,6.758818304377295e-250,True
hsa-miR-6807-5p,3.6673,5.1303,-1.463,0.038089,-38.4099,2268.0,4.484018758957616e-249,111,2.2016128140827935e-248,True
