mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-6803-3p,3.1797,4.7662,-1.5865,3.965383857703769e-229,141,1.5327192925167048e-228,True
hsa-miR-6845-3p,3.5655,4.9761,-1.4106,5.7685841493940956e-229,142,2.2139988460702693e-228,True
hsa-miR-6820-5p,4.2694,6.0839,-1.8144,1.836199775018054e-228,143,6.998104037656219e-228,True
hsa-miR-4487,3.2358,4.6845,-1.4487,2.250907257767687e-228,144,8.519058718634648e-228,True
hsa-miR-6846-5p,3.6949,5.1186,-1.4237,1.491567217954594e-227,145,5.606235405415543e-227,True
hsa-miR-6810-5p,3.5769,4.8369,-1.26,3.5209023155458123e-227,146,1.3143094260085396e-226,True
hsa-miR-5193,3.0251,4.6191,-1.5941,3.751097545688808e-227,147,1.390713035646531e-226,True
hsa-miR-4298,3.7091,5.2768,-1.5677,1.72023318443259e-226,148,6.334642469701092e-226,True
hsa-miR-6813-3p,3.4042,4.7928,-1.3886,4.348901537203096e-226,149,1.590705595822609e-225,True
hsa-miR-6716-5p,3.8943,5.4114,-1.5171,2.0495152976031917e-225,150,7.446572247958263e-225,True
hsa-miR-6861-3p,3.5308,4.8603,-1.3295,2.5184950466058543e-225,151,9.089932452981395e-225,True
hsa-miR-877-3p,3.5821,4.8379,-1.2559,1.6023559613977215e-224,152,5.745289466853672e-224,True
hsa-miR-6515-3p,4.1789,5.5892,-1.4103,2.5079444912066145e-223,153,8.933527762794803e-223,True
hsa-miR-6732-5p,4.8079,6.6447,-1.8369,4.1853654563772915e-223,154,1.4811845283932622e-222,True
hsa-miR-4419a,3.5745,4.908,-1.3335,4.58667852993452e-223,155,1.6127353540737506e-222,True
hsa-miR-371b-5p,3.2351,4.7819,-1.5468,6.423650042490136e-222,156,2.244159790485336e-221,True
hsa-miR-1225-3p,4.1112,5.2793,-1.1681,7.181235345995822e-222,157,2.492849212463518e-221,True
hsa-miR-6858-3p,3.5249,4.8172,-1.2923,8.795701549521115e-222,158,3.033960344613296e-221,True
hsa-miR-1228-3p,3.4647,5.1524,-1.6877,1.2587452435881735e-221,159,4.3145670299091484e-221,True
hsa-miR-6831-5p,3.1369,4.6768,-1.5399,4.161509354657083e-221,160,1.4175141239300688e-220,True
hsa-miR-1915-3p,4.6211,7.6714,-3.0503,2.2254709084667377e-220,161,7.533426367170013e-220,True
hsa-miR-6726-3p,3.1028,4.6665,-1.5637,2.6662256974593194e-220,162,8.969709908119316e-220,True
hsa-miR-3713,3.4018,4.6695,-1.2677,3.791272340240077e-220,163,1.267634003331805e-219,True
hsa-miR-4688,4.3299,5.8447,-1.5148,4.228049581432893e-219,164,1.4050530621225162e-218,True
hsa-miR-6804-3p,3.4714,4.7723,-1.3008,4.669283411267483e-219,165,1.54227846008532e-218,True
hsa-miR-4462,3.4513,4.9041,-1.4529,8.396555065600683e-219,166,2.756700307682152e-218,True
hsa-miR-7114-5p,4.3914,6.0404,-1.649,1.5232564248617084e-218,167,4.971106296704377e-218,True
hsa-miR-4648,3.4072,4.9018,-1.4946,1.8503815873207932e-218,168,6.002725982677573e-218,True
hsa-miR-6893-3p,3.6852,4.8462,-1.161,2.668697777262846e-218,169,8.606155553894978e-218,True
hsa-miR-4667-5p,3.8386,5.2911,-1.4525,5.357735150451947e-218,170,1.7176268570566533e-217,True
hsa-miR-3187-3p,3.5487,4.8509,-1.3022,1.415081863629891e-217,171,4.510056232036787e-217,True
hsa-miR-1229-5p,4.7964,6.3731,-1.5767,2.3313270634863565e-217,172,7.387053776744559e-217,True
hsa-miR-4281,5.3911,8.798,-3.4069,2.618058316253215e-217,173,8.247640360450879e-217,True
hsa-miR-5006-5p,3.3298,4.7088,-1.379,8.901146027025675e-217,174,2.7880026349017202e-216,True
hsa-miR-1343-5p,4.9317,7.6769,-2.7452,4.1028316014271973e-216,175,1.2777389844444701e-215,True
hsa-miR-4665-3p,3.5271,4.8871,-1.36,5.711116329995945e-216,176,1.768499090822608e-215,True
hsa-miR-6827-5p,3.1985,4.6253,-1.4268,7.725476187234578e-216,177,2.378748317538331e-215,True
hsa-miR-365a-5p,4.1551,5.517,-1.3619,1.586171174440894e-215,178,4.856535337473524e-215,True
hsa-miR-6815-5p,3.3704,4.6917,-1.3213,2.1052426518748837e-214,179,6.409817012691685e-214,True
hsa-miR-3151-3p,3.7282,4.8718,-1.1436,4.935109139031955e-214,180,1.4942413782068973e-213,True
hsa-miR-532-3p,3.5393,4.7983,-1.259,6.636353257504252e-213,181,1.9982389642761422e-212,True
hsa-miR-4730,4.4055,6.7381,-2.3326,7.753216294674911e-213,182,2.3217048794493552e-212,True
hsa-miR-5739,4.4211,5.682,-1.261,1.0131892578957371e-212,183,3.0174215603998727e-212,True
hsa-miR-642a-3p,4.9506,6.2634,-1.3128,1.695026270392686e-212,184,5.020594116108772e-212,True
hsa-miR-5010-5p,2.8497,4.8354,-1.9857,1.7893518734114544e-212,185,5.271333897347258e-212,True
hsa-miR-765,3.4826,4.688,-1.2054,1.9141501586465708e-212,186,5.608665787432156e-212,True
hsa-miR-3937,4.8057,6.6028,-1.7972,3.515036977939636e-212,187,1.024435910682942e-211,True
hsa-miR-873-3p,3.5188,4.7664,-1.2476,5.603268398300802e-212,188,1.6243517431244346e-211,True
hsa-miR-3648,6.7082,10.092,-3.3837,6.862792457240499e-212,189,1.9789533805270223e-211,True
hsa-miR-422a,4.4705,5.573,-1.1025,1.7204454760973296e-210,190,4.9349620235423403e-210,True
hsa-miR-208a-5p,3.5989,4.919,-1.3201,7.027520916609513e-210,191,2.0052350259435522e-209,True
hsa-miR-6511b-3p,3.4211,4.7502,-1.3291,1.0362953054889586e-208,192,2.9415674036014706e-208,True
hsa-miR-6769b-5p,3.7285,5.3581,-1.6297,2.050800763300453e-207,193,5.791121326418377e-207,True
hsa-miR-6782-5p,4.0655,5.3805,-1.315,2.3409078029777547e-207,194,6.576261611458125e-207,True
hsa-miR-6877-3p,3.7254,4.947,-1.2216,2.784818605240488e-207,195,7.78321097362085e-207,True
hsa-miR-6860,3.5672,4.8182,-1.251,8.988661113586879e-207,196,2.49939811576778e-206,True
hsa-miR-6749-3p,3.7864,4.9462,-1.1598,1.5293761900381246e-206,197,4.231015348075015e-206,True
hsa-miR-7109-3p,3.5144,4.8173,-1.3029,5.661972573450006e-206,198,1.5584722487526532e-205,True
hsa-miR-1273e,3.6944,4.8848,-1.1904,1.252249407425832e-205,199,3.429527271593359e-205,True
hsa-miR-6809-3p,3.5007,4.6694,-1.1686,5.725628090092595e-205,200,1.5602336545502321e-204,True
hsa-miR-345-3p,3.5778,4.9348,-1.357,1.2619364395600236e-204,201,3.421668455523447e-204,True
hsa-miR-6511a-5p,4.3167,5.7788,-1.4621,3.427094949398724e-203,202,9.246370036744082e-203,True
hsa-miR-8052,3.3978,4.8116,-1.4138,7.907194238060181e-203,203,2.1228674185925115e-202,True
hsa-miR-5572,3.229,5.0187,-1.7896,4.301775026942207e-202,204,1.1492487204330896e-201,True
hsa-miR-6792-5p,4.0342,5.173,-1.1388,8.248161364030376e-202,205,2.192803874827588e-201,True
hsa-miR-6722-5p,3.565,4.7931,-1.228,1.2193490782653348e-201,206,3.22594780414858e-201,True
hsa-miR-4749-5p,5.311,6.7197,-1.4087,1.6290781287397004e-201,207,4.2891187447494524e-201,True
hsa-miR-1227-5p,6.1959,8.0133,-1.8174,3.8764525473489435e-201,208,1.0157051145697952e-200,True
hsa-miR-6732-3p,3.2862,4.645,-1.3588,4.1941274162083e-201,209,1.093683943461016e-200,True
hsa-miR-6741-3p,3.7115,4.8444,-1.1329,5.876159810191707e-201,210,1.525003379311657e-200,True
hsa-miR-296-3p,3.5549,4.9486,-1.3937,8.917538480476995e-201,211,2.303345247326996e-200,True
hsa-miR-1976,3.3641,4.8024,-1.4384,1.2775952256214206e-200,212,3.284383952658841e-200,True
hsa-miR-6779-5p,4.64,5.9312,-1.2913,2.237964741461368e-200,213,5.726247812659369e-200,True
hsa-miR-125b-1-3p,3.402,4.645,-1.243,5.764428008872451e-200,214,1.4680435816988251e-199,True
hsa-miR-6801-3p,3.7036,4.8116,-1.108,3.7290771824563463e-199,215,9.45277704390097e-199,True
hsa-miR-1914-3p,4.5506,5.8753,-1.3247,3.739313210576914e-198,216,9.434841202613047e-198,True
hsa-miR-92a-3p,3.3748,4.9439,-1.5691,2.1305927123017454e-197,217,5.351027779744015e-197,True
hsa-miR-4276,3.5548,4.752,-1.1972,1.6783986874698053e-196,218,4.195996718674513e-196,True
hsa-miR-5001-5p,5.3942,6.5579,-1.1636,2.606618658089165e-196,219,6.4867907244684705e-196,True
hsa-miR-6885-3p,3.6755,4.7654,-1.0899,8.616077567292872e-196,220,2.1344373973520976e-195,True
hsa-miR-874-5p,3.2905,4.6938,-1.4033,2.2126979950408933e-195,221,5.456653426684556e-195,True
hsa-miR-139-3p,3.3893,4.6647,-1.2754,5.82975329263164e-195,222,1.4311781731911007e-194,True
hsa-miR-3675-3p,3.8835,4.8858,-1.0023,1.1824394471903442e-194,223,2.889818379904653e-194,True
hsa-miR-6759-5p,3.3599,4.6703,-1.3104,1.8026766378499228e-194,224,4.3859766411973567e-194,True
hsa-miR-4726-5p,4.4198,5.5434,-1.1237,5.3227485681508736e-194,225,1.289287986507656e-193,True
hsa-miR-6763-5p,4.3826,5.7321,-1.3495,7.222716725840838e-194,226,1.7417613343288746e-193,True
hsa-miR-6825-3p,3.57,4.8196,-1.2496,1.1221194526665865e-193,227,2.694075337899954e-193,True
hsa-miR-602,3.0658,4.4914,-1.4256,5.951386728084093e-193,228,1.4225902485990485e-192,True
