mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-4708-3p,4.1137,4.4579,-0.3442,1.4011523048990138e-08,522,1.4628889007087405e-08,False
hsa-miR-939-5p,4.1557,3.8427,0.313,4.4190116590426045e-07,523,4.604897426726997e-07,False
hsa-miR-1233-5p,8.5714,8.1994,0.372,4.562591953106603e-07,524,4.745443920692937e-07,False
hsa-miR-4488,7.5273,6.8502,0.6771,1.8587350980643016e-06,525,1.929544054181037e-06,True
hsa-miR-1246,4.3948,4.6323,-0.2376,2.3800674216725583e-06,526,2.466039438805217e-06,False
hsa-miR-1307-3p,5.2063,5.3895,-0.1832,5.677714380206431e-06,527,5.871640108562628e-06,False
hsa-miR-6869-5p,8.4564,8.948,-0.4916,6.627199838120415e-06,528,6.840575590484141e-06,False
hsa-miR-6885-5p,7.1192,6.682,0.4371,6.633038574795896e-06,529,6.833659779326585e-06,False
hsa-miR-6090,9.5432,9.0396,0.5036,6.774598380443917e-06,530,6.966332296871576e-06,True
hsa-miR-7704,7.7303,7.1281,0.6022,1.3921830219068997e-05,531,1.4288884123149911e-05,True
hsa-miR-7107-5p,4.8793,4.6923,0.187,0.001078545170604068,532,0.0011049005977052952,False
hsa-miR-4734,9.4084,9.1489,0.2595,0.002570029957139605,533,0.002627891794823799,False
hsa-miR-4286,4.3515,4.2553,0.0962,0.008782081771478033,534,0.008962986077632075,False
hsa-miR-4665-5p,5.5123,5.6725,-0.1602,0.013287242518076869,535,0.01353560219131195,False
hsa-miR-885-3p,4.4052,4.4769,-0.0717,0.03835924027918121,536,0.03900333200028686,False
hsa-miR-4417,3.9359,4.0843,-0.1484,0.05688755211609727,537,0.057735038926020506,False
hsa-miR-4433b-3p,4.6719,4.7999,-0.128,0.06741848863101453,538,0.06829568086227308,False
hsa-miR-2861,7.1917,6.9906,0.2011,0.09452475866002848,539,0.09557698231858167,False
hsa-miR-3621,6.637,6.7908,-0.1537,0.12957259640459245,540,0.13077234266759796,False
hsa-miR-6743-5p,5.4798,5.6141,-0.1343,0.140141439627545,541,0.14117760553976347,False
hsa-miR-204-3p,7.1126,6.957,0.1556,0.23478288744995432,542,0.2360824237273526,False
hsa-miR-4463,5.8654,5.9826,-0.1171,0.2559489417467541,543,0.25689166344747877,False
hsa-miR-6769a-5p,4.5856,4.6232,-0.0376,0.3933975671451031,544,0.39412072443764923,False
hsa-miR-2467-3p,4.2769,4.3136,-0.0367,0.49254591717509355,545,0.49254591717509355,False
