mirna,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
hsa-miR-6754-5p,21.483027667567473,0.44061129735049176,0.019123494418010673,23.04031301598939,1.8395706624612876e-117,1.4963671806588087e-116,False
hsa-miR-1249-3p,19.20575139060894,-1.3668243759912366,0.05937046109364496,-23.02195992440325,2.80953410535611e-117,2.2517589520868825e-116,True
hsa-miR-6806-5p,35.33961233894986,-0.5633119608161385,0.02448938931094956,-23.00228697676318,4.421976052382587e-117,3.4927202152876957e-116,True
hsa-miR-4730,126.71042045314779,-1.2648889438888637,0.05503035735620339,-22.98529402056076,6.540773273313539e-117,5.092459191365541e-116,True
hsa-miR-4741,152.70067530401684,-0.751169497706122,0.033186883736732765,-22.634529462454264,1.9816763071142797e-113,1.5211458977144824e-112,True
hsa-miR-3616-3p,25.39773698650022,-0.4906187495317867,0.02186023190424124,-22.443437548189898,1.4832501141833316e-111,1.1227379336526607e-110,False
hsa-miR-3158-5p,20.92343727442899,0.5606637791218586,0.02504723867949356,22.38425505885725,5.6033966529455885e-111,4.183357775144309e-110,True
hsa-miR-4322,21.25344655790777,0.5734676062738571,0.025764196045738853,22.258315580885476,9.37023899250704e-110,6.901054393130185e-109,True
hsa-miR-1193,23.609690356753884,-0.5421147714994518,0.02451119045836453,-22.117031501195537,2.167285681377627e-108,1.5748942618010755e-107,True
hsa-miR-3197,216.1934449376624,-1.1092472051936169,0.050381011865528035,-22.017168058361126,1.9720903363816822e-107,1.4141963596421275e-106,True
hsa-miR-3184-5p,46.60865542363287,-0.7337087302996165,0.033398133866255224,-21.96855468745038,5.757150007804159e-107,4.074865914614632e-106,True
hsa-miR-92a-2-5p,80.5679922192904,-1.2957992927496538,0.059052833631064214,-21.943050198830935,1.0090263348896421e-106,7.050248109164807e-106,True
hsa-miR-4492,191.17106072682716,-1.0262929469000155,0.047034595775146744,-21.819958904426525,1.4999407136736398e-105,1.0347692265216883e-104,True
hsa-miR-6732-5p,81.62411088143772,-0.7940107777570146,0.03645264697406014,-21.781978639906065,3.4389528667550834e-105,2.3427866404769005e-104,True
hsa-miR-3180,94.88819092834369,-0.8378285962093559,0.038583565310159156,-21.714649475090198,1.4917659752339304e-104,1.003719082101842e-103,True
hsa-miR-498,32.261400469312115,-0.4472572516325809,0.020803075648526865,-21.499573389488333,1.5712558997507197e-102,1.0443103236148077e-101,False
hsa-miR-6769a-3p,21.640829492665247,0.41310495214819337,0.019242684601537243,21.468155857794997,3.090402503833033e-102,2.0292401983000035e-101,False
hsa-miR-6781-5p,237.96646157805537,-1.0602451489853166,0.04992926116720997,-21.234945685148872,4.5421710564954455e-100,2.9470038402262117e-99,True
hsa-miR-187-5p,63.34432611240552,-0.682201957582673,0.0322873107073735,-21.129104364423807,4.296188559664459e-99,2.754615017667212e-98,True
hsa-miR-6778-5p,38.62596802764739,0.48891654476078533,0.023357796947338177,20.931620643123264,2.7595311575443266e-97,1.7487726521647185e-96,False
hsa-miR-3646,18.27379138676182,-0.5244479905401217,0.02507150215340327,-20.918092076462667,3.664851147333218e-97,2.2957975578121884e-96,True
hsa-miR-762,1500.396577372753,-1.4026252512504442,0.06767372468560433,-20.726290118752885,2.0067651033200338e-95,1.2428261151243392e-94,True
hsa-miR-4690-5p,24.97528519612461,0.5177886680448589,0.02512136230711371,20.611488410333337,2.164720738246969e-94,1.325587418364717e-93,True
hsa-miR-920,21.775678431815265,0.46338878834588876,0.02261241726814165,20.49266926445548,2.5028774563622344e-93,1.5156313485749085e-92,False
hsa-miR-4498,21.39825204856878,0.49961421852061755,0.024693065468233622,20.23297671013532,5.018028024234817e-91,3.005302498030742e-90,False
hsa-miR-3614-5p,18.292751489549723,-0.5253499279964292,0.026016010376761038,-20.193331736433397,1.1204761933321575e-90,6.637603536587237e-90,True
hsa-miR-1225-5p,29.49069122912981,1.0604803551693138,0.052599453713882346,20.161432872247225,2.136059112102322e-90,1.2517765764470598e-89,True
hsa-miR-1343-3p,27.11980386359271,0.49378425063099435,0.024621040966557366,20.055376671591546,1.811666204719276e-89,1.0503809378425589e-88,False
hsa-miR-1181,22.858005869567858,-0.5764450614456763,0.02886223850718659,-19.972292215038816,9.59475330380076e-89,5.504358474285699e-88,True
hsa-miR-4515,21.723674634867326,0.5231008696059262,0.026278054610607685,19.906377293042294,3.583071423921137e-88,2.034139506288562e-87,True
hsa-miR-486-5p,24.61409598841702,-0.6367779072128671,0.03210897539978957,-19.831772869869912,1.5835864570741656e-87,8.897470300055879e-87,True
hsa-miR-4534,53.0487740271763,-0.6966582506125232,0.03513002048860882,-19.83085238559482,1.6128338358721611e-87,8.969331026023754e-87,True
hsa-miR-4716-5p,20.071886688347153,-0.5173125345730651,0.026100332694180817,-19.82015097793762,1.9950929113691823e-87,1.09830872393556e-86,True
hsa-miR-718,29.668065767458515,-0.6052473807662754,0.03081224159224465,-19.64308175873236,6.625301343425419e-86,3.6107892321668533e-85,True
hsa-miR-128-1-5p,38.02684108047689,-0.5635154727182142,0.02879626665104258,-19.56904620821088,2.8394582243836494e-85,1.5321829032565237e-84,True
hsa-miR-4516,1483.2946268231617,-1.1555265226733988,0.05915920897466482,-19.532487717478745,5.813716671059219e-85,3.1063486134581117e-84,True
hsa-miR-6742-5p,20.56707475092401,0.5013330909043324,0.02574341501062638,19.474226348656224,1.8164771608919473e-84,9.611456822195255e-84,True
hsa-miR-675-5p,30.442186555260438,0.5390947145054867,0.02777117691299388,19.412022623112136,6.107492774486716e-84,3.2005611173992884e-83,True
hsa-miR-3147,21.04339512168223,-0.49994440838718485,0.02584369401243926,-19.34492832744995,2.2491683502349387e-83,1.1674254770267064e-82,False
hsa-miR-6798-5p,210.6265471126133,-1.2046661432884311,0.06240283518367846,-19.304670048124883,4.906770196104006e-83,2.5228205253553615e-82,True
hsa-miR-211-3p,31.96056858013315,0.461894830589346,0.024017247697351918,19.231796932346807,2.005571334156633e-82,1.0215293244068833e-81,False
hsa-miR-564,21.79048199016639,-0.4904627668681203,0.02557575314812226,-19.17686505760357,5.775957052069292e-82,2.9147190679423744e-81,False
hsa-miR-4433a-3p,27.09402615181278,-1.2847030896030034,0.06716784194972088,-19.126758465229237,1.5118787899626074e-81,7.559393949813037e-81,True
hsa-miR-8073,29.619700719381107,0.4279102877009377,0.022450450068473845,19.060209768437243,5.40576592439836e-81,2.67831129890646e-80,False
hsa-miR-6738-5p,38.71203997242457,0.42946678878785055,0.022592037543185194,19.009652757831827,1.4188856750955788e-80,6.966600837180995e-80,False
hsa-miR-491-5p,26.68066565146873,-0.42179012604840815,0.022239089017724797,-18.966160246592693,3.2478121000174874e-80,1.5804085665263666e-79,False
hsa-miR-671-5p,36.068740389491765,-0.4668444885454634,0.0246489005858984,-18.939769216828456,5.3631668340497705e-80,2.586660110227544e-79,False
hsa-miR-4743-5p,21.87685942301419,0.36334869661705,0.019262739408330305,18.86277382021362,2.3078849568718278e-79,1.1033309662238123e-78,False
hsa-miR-6771-5p,113.72841726911554,-0.6316882605320321,0.03352326362261201,-18.84328052433259,3.336316527370263e-79,1.5811239194928637e-78,True
hsa-miR-6746-5p,37.027859215990084,0.4016459015502124,0.021330927554867894,18.829275028809214,4.3467053677382557e-79,2.0422020908770251e-78,False
hsa-miR-3665,1681.850048706172,-1.2496837509087495,0.06644946980106294,-18.806527044535716,6.677139007350314e-79,3.110291247013608e-78,True
hsa-miR-6792-3p,20.33899858980545,0.4807860780439502,0.025614794849000904,18.769858625773967,1.332395703846828e-78,6.15386151352984e-78,False
hsa-miR-642b-3p,117.24973101114419,0.629582773758007,0.03364041266569097,18.71507285046188,3.731110064660923e-78,1.7087857018825236e-77,True
hsa-miR-4685-5p,19.765334086864275,0.4045671029566379,0.021686754239663774,18.655032398380246,1.1493250406875578e-77,5.219851226455992e-77,False
hsa-miR-4734,1077.076553812197,0.9628511879115627,0.05173082553994646,18.612716457966645,2.534364178828315e-77,1.1415111383978773e-76,True
hsa-miR-371a-5p,36.08698737073285,0.47094920266918383,0.025475291893283385,18.48650859986223,2.651775466159868e-76,1.1846046139812527e-75,False
hsa-miR-4673,18.81197092165881,-0.582516284390018,0.03155414515139995,-18.460848221209815,4.2658949149439065e-76,1.890172950117422e-75,True
hsa-miR-4634,93.46481594724236,-0.7241856796475827,0.039479416434734946,-18.34337346006023,3.7292125469389816e-75,1.6390490629691493e-74,True
hsa-miR-6765-3p,36.13493191577811,0.45149307910138065,0.02484849763077611,18.169834080519376,8.946846564630282e-74,3.900825102178803e-73,False
hsa-miR-6842-5p,33.961146114263634,-0.3851366245522459,0.021392872535972034,-18.00303460438238,1.8443106789089425e-72,7.977375555598204e-72,False
hsa-miR-6515-5p,20.91912420091148,0.4294208698630206,0.02390337869183345,17.964860758773465,3.671982728796338e-72,1.575772115900791e-71,False
hsa-miR-7114-5p,53.76057447393803,-0.6303896542265855,0.035143726633181764,-17.93747318849756,6.012778544531418e-72,2.5601283646637677e-71,True
hsa-miR-6086,20.18800695277507,0.43512159526826477,0.024306861883226526,17.901183515940815,1.1544236041047853e-71,4.877216001838047e-71,False
hsa-miR-4675,46.39502749340018,0.5267934250007738,0.02958466493558271,17.80630019463825,6.314857287821378e-71,2.6473824783558854e-70,True
hsa-miR-4723-3p,19.74584826090663,0.4409613204414192,0.024969080157435805,17.660294959247857,8.479540312007756e-70,3.5277476870566617e-69,False
hsa-miR-1268a,334.5876614809772,-0.9676190581035327,0.055098823796345876,-17.561519310829727,4.855796325918186e-69,2.0048553012313723e-68,True
hsa-miR-451a,27.1558490849573,0.6872833826658757,0.039162852593302155,17.549369802122605,6.014365043580609e-69,2.4645330441740084e-68,True
hsa-miR-4746-3p,37.220358198589615,-0.45162428845368346,0.02588672703537479,-17.44617184847388,3.680908929582467e-68,1.4970860944943616e-67,False
hsa-miR-6825-5p,38.261368854024404,-0.7557005517345564,0.043450553733996644,-17.3921961124118,9.454128596397185e-68,3.8166667296566415e-67,True
hsa-miR-6887-5p,30.307918934143064,0.4725941690114636,0.027272633704509018,17.328512315014486,2.866478071627742e-67,1.148698933115529e-66,False
hsa-miR-4485-5p,17.42919307147659,-1.0332371457306564,0.059783406957611675,-17.283008752968097,6.316529883467906e-67,2.512780136124094e-66,True
hsa-miR-6795-5p,26.56950618000962,0.42893756873446787,0.02486790332050078,17.248642284243452,1.1455990024528591e-66,4.5242859154841177e-66,False
hsa-miR-6165,23.999232279494972,0.37749963675104525,0.021888770399943407,17.24626965578758,1.193614508388853e-66,4.6799993314526964e-66,False
hsa-miR-5698,33.60520759432686,-0.5117133374090977,0.02973064862936605,-17.21164390956677,2.1717819685900647e-66,8.45443694915418e-66,True
hsa-miR-7108-5p,162.72234295351086,-0.46801973692740545,0.02729407501274319,-17.147301628976038,6.583949643749841e-66,2.5448599686834494e-65,False
hsa-miR-4270,78.5621957034139,-0.512444574339854,0.02993371262831047,-17.119312285212434,1.0652637459715e-65,4.0885122644680815e-65,True
hsa-miR-1227-5p,196.5015784797787,-0.5632265803179738,0.03291873495490279,-17.10960585482915,1.2584817859815607e-65,4.796311701817836e-65,True
hsa-miR-4706,56.27846084451192,0.488456380129505,0.028642256228291165,17.053697733736353,3.2810387216578667e-65,1.241782016183012e-64,False
hsa-miR-5572,27.21952353009712,-0.6391531952374802,0.037711100989190234,-16.948675018019003,1.968400133688077e-64,7.398469468000014e-64,True
hsa-miR-6865-3p,23.405742734075353,0.37533211202605016,0.02234897951388005,16.794149898117116,2.693358259996167e-63,1.005397432669802e-62,False
hsa-miR-7977,46.933915371523085,0.7213713486175405,0.043036071196321676,16.762016805084116,4.626600494280661e-63,1.7153042648863675e-62,True
hsa-miR-4655-5p,65.80318676131114,-0.4907439223614824,0.02933956764389936,-16.726351537205556,8.424324184336814e-63,3.1022004597726783e-62,False
hsa-miR-1273g-3p,38.16500548786766,0.5450993441423582,0.03285449251906333,16.591318335721436,8.053303913454129e-62,2.9456715656593962e-61,True
hsa-miR-4651,330.18968470137054,-0.6494803515296022,0.03920213221772689,-16.567475154729273,1.197493639253876e-61,4.35089355595575e-61,True
hsa-miR-1203,29.357635074794896,-0.39174290632605346,0.023674132445237375,-16.54729723389978,1.6745329652306565e-61,6.0438441460311775e-61,False
hsa-miR-3679-5p,69.51962045892927,-0.483106487842425,0.02920123137539808,-16.544045065491325,1.7674516356831654e-61,6.337244351627139e-61,False
hsa-miR-1236-3p,22.2328310811429,0.33670990943633844,0.02038198041505955,16.519980030377962,2.634853066875197e-61,9.385587721875701e-61,False
hsa-miR-1249-5p,36.50441084317652,-1.0678865049634785,0.06488286302112635,-16.458683468017842,7.266372995689051e-61,2.571541092630216e-60,True
hsa-miR-619-5p,23.201362925451836,0.6989274264927007,0.04248285780568939,16.451987050623956,8.116126866390404e-61,2.853734930440497e-60,True
hsa-miR-3940-5p,549.3117701679555,-1.160238692337062,0.0705525538001575,-16.445027569426863,9.104293965303885e-61,3.180666801981165e-60,True
hsa-miR-4257,37.249249831542,0.40790737118235937,0.024956367080125188,16.344821739186937,4.7355386420233413e-60,1.6438653247788031e-59,False
hsa-miR-6761-3p,21.46795426739609,0.32540165742860055,0.019961868375117434,16.301162361846615,9.683294209646784e-60,3.3401236356060112e-59,False
hsa-miR-3937,76.17808109500722,-0.5586337666335183,0.0343921305625941,-16.24306948988804,2.500909906570155e-59,8.572301252080091e-59,True
hsa-miR-550a-5p,30.11700879970188,-0.43134500076987353,0.02658252468040401,-16.226637836542686,3.2688057351084745e-59,1.1134369535213241e-58,False
hsa-miR-3178,478.75738055257494,-0.916300375961937,0.056943278229125996,-16.09145810458902,2.928581333808918e-58,9.913520664135779e-58,True
hsa-miR-6766-5p,26.55258916122644,0.2977685419208007,0.018530983623138455,16.068685180261895,4.229627155530864e-58,1.422930123311309e-57,False
hsa-miR-328-3p,25.321804777521464,0.3090633666380804,0.019240331301374144,16.063307943975325,4.612807427772445e-58,1.5423190479361855e-57,False
hsa-miR-7160-5p,19.64205311680022,0.3697067849699402,0.02311372758956561,15.995117340434502,1.3819767658379916e-57,4.5925447401323503e-57,False
hsa-miR-6799-5p,90.38668753762336,-0.6208970183713999,0.03887877547647375,-15.970076494490316,2.065324556311831e-57,6.821829595090594e-57,True
hsa-miR-4447,26.107241431227447,0.4508785552805652,0.029071755589286055,15.509161594861837,3.0078062604468665e-54,9.875026577973146e-54,False
hsa-miR-1281,20.592358362893588,0.3891703672457886,0.025261393482737385,15.405736326926377,1.497733287075843e-53,4.887812224289427e-53,False
hsa-miR-6777-3p,23.727258399793296,0.2992128344834502,0.019447352192194345,15.385787819667625,2.038797758014221e-53,6.613957012605658e-53,False
hsa-miR-4430,21.965203566175358,0.49663086260876416,0.03250091061466828,15.280521475131382,1.0311229505710629e-52,3.3252189826108238e-52,False
hsa-miR-3960,5465.4338446404445,-0.8367725795028336,0.054922517980506055,-15.235510138115549,2.0551674781114366e-52,6.588625150416076e-52,True
hsa-miR-4710,24.01844763573601,0.5766023831917304,0.03791205271413139,15.20894654635271,3.0846700793215503e-52,9.831258439942952e-52,True
hsa-miR-4290,19.384791172530388,-0.3562968183535502,0.023584226600069078,-15.10742007340222,1.4469490782483053e-51,4.5848095793332926e-51,False
hsa-miR-7845-5p,40.584431698463895,-0.45401516657426083,0.030077366750018028,-15.094910746266997,1.7492444148469154e-51,5.510625468737393e-51,False
hsa-miR-6786-5p,1008.6560884109127,-0.862975422799522,0.05738992259292203,-15.03705500564578,4.198152621107335e-51,1.3149386083353435e-50,True
hsa-miR-1268b,204.96112332364805,-0.7246316870212033,0.04825838253742551,-15.015664614520274,5.79778226250347e-51,1.8055950474653666e-50,True
hsa-miR-370-3p,28.19879842307766,0.2723043447513445,0.018173003237780563,14.98400353471794,9.341611953302601e-51,2.8927150650851804e-50,False
hsa-miR-149-3p,171.01055372504388,-0.6171424751015736,0.041241765188165205,-14.964016993110414,1.2617447809955856e-50,3.8850333652123965e-50,True
hsa-miR-4787-3p,21.115771141085904,0.40229004849104616,0.027031113298910055,14.88248168111031,4.283125314811664e-50,1.3114063463889646e-49,False
hsa-miR-4449,36.69655304680885,-0.3975864568314432,0.026747271138769884,-14.864561501197253,5.598022012453886e-50,1.7044256965292557e-49,False
hsa-miR-6125,898.7005844682959,-0.734872958402954,0.04983122454582428,-14.74723860593015,3.2051301411645682e-49,9.704421816303831e-49,True
hsa-miR-4435,25.162960992044862,-0.5884407176128829,0.040050311025512784,-14.692538023937825,7.196693768958036e-49,2.1669602784984142e-48,True
hsa-miR-6756-3p,20.62630013930759,0.3758528445870453,0.025650045994005735,14.653106067524398,1.2869533999758305e-48,3.853789027400152e-48,False
hsa-miR-7106-5p,23.880453332274328,0.4025478261028774,0.027483816801994628,14.64672206931836,1.4137341623719296e-48,4.210301193949189e-48,False
hsa-miR-296-5p,46.820777977134476,0.3598584209580956,0.02460610300661143,14.624762842836388,1.9525004246630865e-48,5.783221366529251e-48,False
hsa-miR-4481,25.77018155506502,-0.3768676392198936,0.025828828103027272,-14.590969350859659,3.2060954059289614e-48,9.444983763412347e-48,False
hsa-miR-197-5p,56.2614208443466,0.3362728204343742,0.02308970395926232,14.563756253768686,4.775977366003561e-48,1.3994127228343768e-47,False
hsa-miR-6820-5p,49.49585779256917,-0.4412707517541625,0.03034538424934074,-14.541610286702806,6.602112128369388e-48,1.9241449785889395e-47,False
hsa-miR-3675-3p,22.705048737862928,0.2954541675210611,0.020395100792665793,14.486526471460648,1.4741105424178532e-47,4.2733523703070743e-47,False
hsa-miR-638,1319.8106143166128,-0.6819045625716321,0.04710834588910418,-14.475238934877392,1.7372102023303266e-47,5.009415662804381e-47,True
